emoji,unicode,count,seq,emoji_from_meta,name,version,category,subgroup,status
❤️,U+2764 U+FE0F,5315636,U+2764 U+FE0F,❤️,red heart,0.6,Smileys & Emotion,heart,fully-qualified
✅,U+2705,3632617,U+2705,✅,check mark button,0.6,Symbols,other-symbol,fully-qualified
✨,U+2728,3118019,U+2728,✨,sparkles,0.6,Activities,event,fully-qualified
🔥,U+1F525,2996010,U+1F525,🔥,fire,0.6,Travel & Places,sky & weather,fully-qualified
😭,U+1F62D,2890964,U+1F62D,😭,loudly crying face,0.6,Smileys & Emotion,face-concerned,fully-qualified
😂,U+1F602,2436042,U+1F602,😂,face with tears of joy,0.6,Smileys & Emotion,face-smiling,fully-qualified
😊,U+1F60A,2171155,U+1F60A,😊,smiling face with smiling eyes,0.6,Smileys & Emotion,face-smiling,fully-qualified
💀,U+1F480,2055303,U+1F480,💀,skull,0.6,Smileys & Emotion,face-negative,fully-qualified
⭐,U+2B50,1943138,U+2B50,⭐,star,0.6,Travel & Places,sky & weather,fully-qualified
🫶,U+1FAF6,1733677,U+1FAF6,🫶,heart hands,14.0,People & Body,hands,fully-qualified
👀,U+1F440,1557561,U+1F440,👀,eyes,0.6,People & Body,body-parts,fully-qualified
🎉,U+1F389,1543742,U+1F389,🎉,party popper,0.6,Activities,event,fully-qualified
🥹,U+1F979,1510056,U+1F979,🥹,face holding back tears,14.0,Smileys & Emotion,face-concerned,fully-qualified
👍,U+1F44D,1417156,U+1F44D,👍,thumbs up,0.6,People & Body,hand-fingers-closed,fully-qualified
🙏,U+1F64F,1403289,U+1F64F,🙏,folded hands,0.6,People & Body,hands,fully-qualified
✔️,U+2714 U+FE0F,1399169,U+2714 U+FE0F,✔️,check mark,0.6,Symbols,other-symbol,fully-qualified
📍,U+1F4CD,1309953,U+1F4CD,📍,round pushpin,0.6,Objects,office,fully-qualified
👉,U+1F449,1249203,U+1F449,👉,backhand index pointing right,0.6,People & Body,hand-single-finger,fully-qualified
🫶🏻,U+1FAF6 U+1F3FB,1220505,U+1FAF6 U+1F3FB,🫶🏻,heart hands: light skin tone,14.0,People & Body,hands,fully-qualified
❌,U+274C,1159289,U+274C,❌,cross mark,0.6,Symbols,other-symbol,fully-qualified
🥰,U+1F970,1142758,U+1F970,🥰,smiling face with hearts,11.0,Smileys & Emotion,face-affection,fully-qualified
😅,U+1F605,1111388,U+1F605,😅,grinning face with sweat,0.6,Smileys & Emotion,face-smiling,fully-qualified
😍,U+1F60D,1110391,U+1F60D,😍,smiling face with heart-eyes,0.6,Smileys & Emotion,face-affection,fully-qualified
🫡,U+1FAE1,1102385,U+1FAE1,🫡,saluting face,14.0,Smileys & Emotion,face-hand,fully-qualified
🚀,U+1F680,1082901,U+1F680,🚀,rocket,0.6,Travel & Places,transport-air,fully-qualified
😉,U+1F609,1081650,U+1F609,😉,winking face,0.6,Smileys & Emotion,face-smiling,fully-qualified
☀️,U+2600 U+FE0F,1056662,U+2600 U+FE0F,☀️,sun,0.6,Travel & Places,sky & weather,fully-qualified
⚠️,U+26A0 U+FE0F,1043591,U+26A0 U+FE0F,⚠️,warning,0.6,Symbols,warning,fully-qualified
➡️,U+27A1 U+FE0F,1042536,U+27A1 U+FE0F,➡️,right arrow,0.6,Symbols,arrow,fully-qualified
🤍,U+1F90D,1033962,U+1F90D,🤍,white heart,12.0,Smileys & Emotion,heart,fully-qualified
🤣,U+1F923,1026139,U+1F923,🤣,rolling on the floor laughing,3.0,Smileys & Emotion,face-smiling,fully-qualified
👇,U+1F447,975627,U+1F447,👇,backhand index pointing down,0.6,People & Body,hand-single-finger,fully-qualified
🤔,U+1F914,955996,U+1F914,🤔,thinking face,1.0,Smileys & Emotion,face-hand,fully-qualified
❤️‍🩹,U+2764 U+FE0F U+200D U+1FA79,945741,U+2764 U+FE0F U+200D U+1FA79,❤️‍🩹,mending heart,13.1,Smileys & Emotion,heart,fully-qualified
💙,U+1F499,872385,U+1F499,💙,blue heart,0.6,Smileys & Emotion,heart,fully-qualified
🤩,U+1F929,851244,U+1F929,🤩,star-struck,5.0,Smileys & Emotion,face-affection,fully-qualified
🎁,U+1F381,838944,U+1F381,🎁,wrapped gift,0.6,Activities,event,fully-qualified
🩷,U+1FA77,827613,U+1FA77,🩷,pink heart,15.0,Smileys & Emotion,heart,fully-qualified
🫦,U+1FAE6,818527,U+1FAE6,🫦,biting lip,14.0,People & Body,body-parts,fully-qualified
💪,U+1F4AA,808519,U+1F4AA,💪,flexed biceps,0.6,People & Body,body-parts,fully-qualified
🚨,U+1F6A8,806995,U+1F6A8,🚨,police car light,0.6,Travel & Places,transport-ground,fully-qualified
🎄,U+1F384,795875,U+1F384,🎄,Christmas tree,0.6,Activities,event,fully-qualified
😎,U+1F60E,779999,U+1F60E,😎,smiling face with sunglasses,1.0,Smileys & Emotion,face-glasses,fully-qualified
🫂,U+1FAC2,771579,U+1FAC2,🫂,people hugging,13.0,People & Body,person-symbol,fully-qualified
💡,U+1F4A1,767334,U+1F4A1,💡,light bulb,0.6,Objects,light & video,fully-qualified
 ,U+0020,750715,U+0020,,,,,,
🥳,U+1F973,748184,U+1F973,🥳,partying face,11.0,Smileys & Emotion,face-hat,fully-qualified
 ,U+0020,733020,U+0020,,,,,,
🫠,U+1FAE0,727503,U+1FAE0,🫠,melting face,14.0,Smileys & Emotion,face-smiling,fully-qualified
💔,U+1F494,718186,U+1F494,💔,broken heart,0.6,Smileys & Emotion,heart,fully-qualified
🔴,U+1F534,717365,U+1F534,🔴,red circle,0.6,Symbols,geometric,fully-qualified
😔,U+1F614,710053,U+1F614,😔,pensive face,0.6,Smileys & Emotion,face-sleepy,fully-qualified
👋,U+1F44B,709355,U+1F44B,👋,waving hand,0.6,People & Body,hand-fingers-open,fully-qualified
👑,U+1F451,704308,U+1F451,👑,crown,0.6,Objects,clothing,fully-qualified
💸,U+1F4B8,702823,U+1F4B8,💸,money with wings,0.6,Objects,money,fully-qualified
🥺,U+1F97A,697125,U+1F97A,🥺,pleading face,11.0,Smileys & Emotion,face-concerned,fully-qualified
