emoji,unicode,count,seq,emoji_from_meta,name,version,category,subgroup,status
❤️,U+2764 U+FE0F,279693,U+2764 U+FE0F,❤️,red heart,0.6,Smileys & Emotion,heart,fully-qualified
😂,U+1F602,255709,U+1F602,😂,face with tears of joy,0.6,Smileys & Emotion,face-smiling,fully-qualified
✨,U+2728,226683,U+2728,✨,sparkles,0.6,Activities,event,fully-qualified
✅,U+2705,218121,U+2705,✅,check mark button,0.6,Symbols,other-symbol,fully-qualified
👀,U+1F440,170582,U+1F440,👀,eyes,0.6,People & Body,body-parts,fully-qualified
🔥,U+1F525,162919,U+1F525,🔥,fire,0.6,Travel & Places,sky & weather,fully-qualified
😊,U+1F60A,162537,U+1F60A,😊,smiling face with smiling eyes,0.6,Smileys & Emotion,face-smiling,fully-qualified
⭐,U+2B50,151953,U+2B50,⭐,star,0.6,Travel & Places,sky & weather,fully-qualified
😭,U+1F62D,142818,U+1F62D,😭,loudly crying face,0.6,Smileys & Emotion,face-concerned,fully-qualified
🎉,U+1F389,140270,U+1F389,🎉,party popper,0.6,Activities,event,fully-qualified
👇,U+1F447,136384,U+1F447,👇,backhand index pointing down,0.6,People & Body,hand-single-finger,fully-qualified
👍,U+1F44D,113884,U+1F44D,👍,thumbs up,0.6,People & Body,hand-fingers-closed,fully-qualified
👉,U+1F449,113173,U+1F449,👉,backhand index pointing right,0.6,People & Body,hand-single-finger,fully-qualified
🎄,U+1F384,104021,U+1F384,🎄,Christmas tree,0.6,Activities,event,fully-qualified
✔️,U+2714 U+FE0F,97433,U+2714 U+FE0F,✔️,check mark,0.6,Symbols,other-symbol,fully-qualified
💀,U+1F480,95872,U+1F480,💀,skull,0.6,Smileys & Emotion,face-negative,fully-qualified
➡️,U+27A1 U+FE0F,93893,U+27A1 U+FE0F,➡️,right arrow,0.6,Symbols,arrow,fully-qualified
☀️,U+2600 U+FE0F,85213,U+2600 U+FE0F,☀️,sun,0.6,Travel & Places,sky & weather,fully-qualified
🔗,U+1F517,84961,U+1F517,🔗,link,0.6,Objects,tool,fully-qualified
🚨,U+1F6A8,83647,U+1F6A8,🚨,police car light,0.6,Travel & Places,transport-ground,fully-qualified
🤣,U+1F923,81716,U+1F923,🤣,rolling on the floor laughing,3.0,Smileys & Emotion,face-smiling,fully-qualified
⬇️,U+2B07 U+FE0F,81439,U+2B07 U+FE0F,⬇️,down arrow,0.6,Symbols,arrow,fully-qualified
📍,U+1F4CD,75361,U+1F4CD,📍,round pushpin,0.6,Objects,office,fully-qualified
🇬🇧,U+1F1EC U+1F1E7,75209,U+1F1EC U+1F1E7,🇬🇧,flag: United Kingdom,0.6,Flags,country-flag,fully-qualified
❌,U+274C,75187,U+274C,❌,cross mark,0.6,Symbols,other-symbol,fully-qualified
🚀,U+1F680,74505,U+1F680,🚀,rocket,0.6,Travel & Places,transport-air,fully-qualified
🙏,U+1F64F,72400,U+1F64F,🙏,folded hands,0.6,People & Body,hands,fully-qualified
😍,U+1F60D,71926,U+1F60D,😍,smiling face with heart-eyes,0.6,Smileys & Emotion,face-affection,fully-qualified
🤔,U+1F914,71424,U+1F914,🤔,thinking face,1.0,Smileys & Emotion,face-hand,fully-qualified
👋,U+1F44B,69451,U+1F44B,👋,waving hand,0.6,People & Body,hand-fingers-open,fully-qualified
🤩,U+1F929,67738,U+1F929,🤩,star-struck,5.0,Smileys & Emotion,face-affection,fully-qualified
🏆,U+1F3C6,66317,U+1F3C6,🏆,trophy,0.6,Activities,award-medal,fully-qualified
💙,U+1F499,66024,U+1F499,💙,blue heart,0.6,Smileys & Emotion,heart,fully-qualified
💪,U+1F4AA,64677,U+1F4AA,💪,flexed biceps,0.6,People & Body,body-parts,fully-qualified
😅,U+1F605,64606,U+1F605,😅,grinning face with sweat,0.6,Smileys & Emotion,face-smiling,fully-qualified
😉,U+1F609,61836,U+1F609,😉,winking face,0.6,Smileys & Emotion,face-smiling,fully-qualified
🌟,U+1F31F,60520,U+1F31F,🌟,glowing star,0.6,Travel & Places,sky & weather,fully-qualified
📅,U+1F4C5,59597,U+1F4C5,📅,calendar,0.6,Objects,office,fully-qualified
💡,U+1F4A1,59571,U+1F4A1,💡,light bulb,0.6,Objects,light & video,fully-qualified
🎁,U+1F381,59070,U+1F381,🎁,wrapped gift,0.6,Activities,event,fully-qualified
👏,U+1F44F,58319,U+1F44F,👏,clapping hands,0.6,People & Body,hands,fully-qualified
