emoji,unicode,count,seq,emoji_from_meta,name,version,category,subgroup,status
❤️,U+2764 U+FE0F,1314371,U+2764 U+FE0F,❤️,red heart,0.6,Smileys & Emotion,heart,fully-qualified
😭,U+1F62D,984020,U+1F62D,😭,loudly crying face,0.6,Smileys & Emotion,face-concerned,fully-qualified
✨,U+2728,820277,U+2728,✨,sparkles,0.6,Activities,event,fully-qualified
✅,U+2705,732993,U+2705,✅,check mark button,0.6,Symbols,other-symbol,fully-qualified
😂,U+1F602,688248,U+1F602,😂,face with tears of joy,0.6,Smileys & Emotion,face-smiling,fully-qualified
🔥,U+1F525,686611,U+1F525,🔥,fire,0.6,Travel & Places,sky & weather,fully-qualified
💀,U+1F480,669925,U+1F480,💀,skull,0.6,Smileys & Emotion,face-negative,fully-qualified
⭐,U+2B50,543558,U+2B50,⭐,star,0.6,Travel & Places,sky & weather,fully-qualified
🎉,U+1F389,513265,U+1F389,🎉,party popper,0.6,Activities,event,fully-qualified
👀,U+1F440,488060,U+1F440,👀,eyes,0.6,People & Body,body-parts,fully-qualified
😊,U+1F60A,468318,U+1F60A,😊,smiling face with smiling eyes,0.6,Smileys & Emotion,face-smiling,fully-qualified
👍,U+1F44D,404374,U+1F44D,👍,thumbs up,0.6,People & Body,hand-fingers-closed,fully-qualified
✔️,U+2714 U+FE0F,314674,U+2714 U+FE0F,✔️,check mark,0.6,Symbols,other-symbol,fully-qualified
🙏,U+1F64F,312076,U+1F64F,🙏,folded hands,0.6,People & Body,hands,fully-qualified
🇺🇸,U+1F1FA U+1F1F8,291409,U+1F1FA U+1F1F8,🇺🇸,flag: United States,0.6,Flags,country-flag,fully-qualified
☀️,U+2600 U+FE0F,277025,U+2600 U+FE0F,☀️,sun,0.6,Travel & Places,sky & weather,fully-qualified
➡️,U+27A1 U+FE0F,275766,U+27A1 U+FE0F,➡️,right arrow,0.6,Symbols,arrow,fully-qualified
🎃,U+1F383,260712,U+1F383,🎃,jack-o-lantern,0.6,Activities,event,fully-qualified
🚨,U+1F6A8,259328,U+1F6A8,🚨,police car light,0.6,Travel & Places,transport-ground,fully-qualified
🤣,U+1F923,251989,U+1F923,🤣,rolling on the floor laughing,3.0,Smileys & Emotion,face-smiling,fully-qualified
😉,U+1F609,241575,U+1F609,😉,winking face,0.6,Smileys & Emotion,face-smiling,fully-qualified
🥹,U+1F979,241165,U+1F979,🥹,face holding back tears,14.0,Smileys & Emotion,face-concerned,fully-qualified
💔,U+1F494,240811,U+1F494,💔,broken heart,0.6,Smileys & Emotion,heart,fully-qualified
🤔,U+1F914,236342,U+1F914,🤔,thinking face,1.0,Smileys & Emotion,face-hand,fully-qualified
💙,U+1F499,236131,U+1F499,💙,blue heart,0.6,Smileys & Emotion,heart,fully-qualified
😍,U+1F60D,232457,U+1F60D,😍,smiling face with heart-eyes,0.6,Smileys & Emotion,face-affection,fully-qualified
❌,U+274C,221382,U+274C,❌,cross mark,0.6,Symbols,other-symbol,fully-qualified
